,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,FB220114C00210000,2021-12-07 17:46:34,210.0,114.7,119.15,121.6,0.0,0.0,,10,0.647464462890625,True,REGULAR,USD
1,FB220114C00225000,2021-12-13 16:01:33,225.0,113.37,104.35,106.45,0.0,0.0,1.0,1,0.56836369140625,True,REGULAR,USD
2,FB220114C00245000,2021-12-08 14:56:58,245.0,82.8,84.35,86.75,0.0,0.0,1.0,0,0.6604037866210939,True,REGULAR,USD
3,FB220114C00250000,2021-12-03 18:39:46,250.0,57.0,79.5,81.9,0.0,0.0,2.0,1,0.6374547973632813,True,REGULAR,USD
4,FB220114C00255000,2021-12-14 16:55:58,255.0,75.76,74.75,76.85,-2.1100006,-2.709645,1.0,1,0.596683720703125,True,REGULAR,USD
5,FB220114C00260000,2021-12-13 20:48:45,260.0,77.0,69.4,71.8,0.0,0.0,2.0,2,0.5566450585937501,True,REGULAR,USD
6,FB220114C00270000,2021-12-13 14:30:52,270.0,61.35,60.3,62.45,0.0,0.0,1.0,1,0.5313767565917968,True,REGULAR,USD
7,FB220114C00280000,2021-12-06 18:34:06,280.0,41.63,50.8,52.5,0.0,0.0,1.0,1,0.4606377178955079,True,REGULAR,USD
8,FB220114C00285000,2021-12-14 14:53:23,285.0,49.37,46.15,48.4,13.27,36.759003,1.0,1,0.4701591070556641,True,REGULAR,USD
9,FB220114C00295000,2021-12-14 16:12:26,295.0,36.6,37.35,39.1,-8.120003,-18.157429,5.0,19,0.42139250488281255,True,REGULAR,USD
10,FB220114C00300000,2021-12-14 16:12:26,300.0,32.4,33.2,34.9,-7.869999,-19.543081,5.0,54,0.4105283557128906,True,REGULAR,USD
11,FB220114C00305000,2021-12-14 15:41:31,305.0,29.75,29.1,31.1,-3.119999,-9.491935,2.0,72,0.40808697387695314,True,REGULAR,USD
12,FB220114C00310000,2021-12-13 16:49:49,310.0,29.39,26.0,26.55,0.0,0.0,2.0,25,0.37604383728027346,True,REGULAR,USD
13,FB220114C00315000,2021-12-13 20:01:11,315.0,27.3,22.4,22.8,0.0,0.0,8.0,29,0.3645083081054688,True,REGULAR,USD
14,FB220114C00320000,2021-12-14 14:32:14,320.0,18.55,19.05,19.35,-5.1400013,-21.696922,3.0,48,0.3551700225830078,True,REGULAR,USD
15,FB220114C00325000,2021-12-14 16:19:49,325.0,15.5,16.0,16.2,-4.75,-23.45679,527.0,153,0.347113462524414,True,REGULAR,USD
16,FB220114C00330000,2021-12-14 16:34:10,330.0,12.6,13.1,13.4,-4.1000004,-24.5509,30.0,110,0.3409489733886719,True,REGULAR,USD
