,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL220114C00110000,2021-12-13 05:08:08,110.0,64.9,63.8,68.0,0.0,0.0,,3,0.729494892578125,True,REGULAR,USD
1,AAPL220114C00120000,2021-12-10 15:46:16,120.0,56.15,53.65,58.0,0.0,0.0,5.0,6,0.5566450585937501,True,REGULAR,USD
2,AAPL220114C00130000,2021-12-13 20:58:37,130.0,46.35,43.9,48.0,46.35,,3.0,0,0.51562984375,True,REGULAR,USD
3,AAPL220114C00140000,2021-12-13 16:31:54,140.0,38.35,34.1,38.6,-0.29000092,-0.75052,10.0,33,0.7587914746093751,True,REGULAR,USD
4,AAPL220114C00141000,2021-12-06 18:18:12,141.0,26.02,33.15,37.6,0.0,0.0,1.0,6,0.7421900781249999,True,REGULAR,USD
5,AAPL220114C00142000,2021-12-10 15:39:42,142.0,34.87,32.1,36.8,0.0,0.0,3.0,5,0.743044561767578,True,REGULAR,USD
6,AAPL220114C00144000,2021-12-10 15:34:38,144.0,33.0,30.3,34.7,0.0,0.0,1.0,13,0.7010527941894531,True,REGULAR,USD
7,AAPL220114C00145000,2021-12-13 19:59:39,145.0,34.25,29.3,33.7,0.5999985,1.7830564,6.0,21,0.6843293286132813,True,REGULAR,USD
8,AAPL220114C00146000,2021-12-07 19:02:03,146.0,25.11,28.15,32.7,0.0,0.0,,1,0.6678500012207034,True,REGULAR,USD
9,AAPL220114C00147000,2021-12-02 16:52:52,147.0,17.03,27.3,31.8,0.0,0.0,,2,0.6594272338867189,True,REGULAR,USD
10,AAPL220114C00148000,2021-12-07 19:41:25,148.0,22.75,26.3,30.95,0.0,0.0,17.0,22,0.654544470214844,True,REGULAR,USD
11,AAPL220114C00149000,2021-12-13 15:17:26,149.0,32.84,25.55,29.8,5.8999996,21.900518,2.0,7,0.6262244409179689,True,REGULAR,USD
12,AAPL220114C00150000,2021-12-13 20:45:59,150.0,28.06,24.55,29.0,-0.90999985,-3.14118,300.0,207,0.6247596118164063,True,REGULAR,USD
13,AAPL220114C00152500,2021-12-13 15:57:15,152.5,28.61,22.1,27.0,3.42,13.576816,82.0,4,0.6184120190429689,True,REGULAR,USD
14,AAPL220114C00155000,2021-12-13 20:54:53,155.0,22.0,19.8,24.0,-3.2000008,-12.698415,57.0,292,0.5407760766601564,True,REGULAR,USD
15,AAPL220114C00157500,2021-12-13 20:46:13,157.5,21.0,19.5,22.5,-1.2000008,-5.4054084,36.0,13,0.563602996826172,True,REGULAR,USD
16,AAPL220114C00160000,2021-12-13 20:46:45,160.0,18.63,16.7,19.7,-1.7800007,-8.721218,112.0,762,0.5001270690917969,True,REGULAR,USD
17,AAPL220114C00162500,2021-12-13 17:37:48,162.5,18.67,13.5,18.0,-0.32999992,-1.7368417,25.0,38,0.5022022436523439,True,REGULAR,USD
18,AAPL220114C00165000,2021-12-13 20:47:35,165.0,14.5,12.25,16.0,-1.8500004,-11.314986,226.0,920,0.48242705078125003,True,REGULAR,USD
19,AAPL220114C00167500,2021-12-13 20:59:47,167.5,11.8,10.0,14.5,-2.1999998,-15.714285,19.0,21,0.48560084716796875,True,REGULAR,USD
20,AAPL220114C00170000,2021-12-13 20:58:15,170.0,10.05,9.8,11.2,-2.3999996,-19.277105,308.0,1721,0.3922179919433594,True,REGULAR,USD
21,AAPL220114C00172500,2021-12-13 20:51:43,172.5,8.7,8.25,11.0,-2.1000004,-19.444448,118.0,306,0.45203184692382814,True,REGULAR,USD
22,AAPL220114C00175000,2021-12-13 20:57:18,175.0,7.2,7.0,7.55,-2.0600004,-22.246223,1468.0,1751,0.3464420825195312,True,REGULAR,USD
